;	DO NOT REMOVE THIS FILE!!!
;	Supported DeviceID List Intel Boot Agent GE v1.5.7x and higher
3804 0438
3a04 043A
3c04 043C
4004 0440
0810 1008
0910 1009
0c10 100C
0d10 100D
0e10 100E
0f10 100F
1010 1010
1110 1011
1210 1012
1310 1013
1510 1015
1610 1016
1710 1017
1810 1018
1910 1019
1a10 101A
1e10 101E
1d10 101D
2610 1026
2710 1027
2810 1028
5e10 105E
5f10 105F
6010 1060
7510 1075
7610 1076
7710 1077
7910 1079
7a10 107A
7b10 107B
7c10 107C
7d10 107D
7e10 107E
7f10 107F
8a10 108A
8b10 108B
8c10 108C
9610 1096
9710 1097
9810 1098
9a10 109A
a410 10A4
a510 10A5
a710 10A7
a910 10A9
b510 10B5
b910 10B9
ba10 10BA
bb10 10BB
bc10 10BC
c910 10C9
d310 10D3
d510 10D5
d610 10D6
d910 10D9
da10 10DA
e210 10E2
e610 10E6
e710 10E7
e810 10E8
f610 10F6
0a15 150A
0c15 150C
0d15 150D
0e15 150E
0f15 150F
1015 1510
1115 1511
1615 1516
1815 1518
2115 1521
2215 1522
2315 1523
2415 1524
2615 1526
2715 1527
3315 1533
3615 1536
3715 1537
3815 1538
3915 1539
4015 1F40
4115 1F41
4515 1F45
7b15 157B
7c15 157C
