;	DO NOT REMOVE THIS FILE!!!
;	Supported DeviceID List Broadcomm
0016 1600
0116 1601
4116 1641
4216 1642
4316 1643
5516 1655
5616 1656
5716 1657
5916 1659
5A16 165A
5B16 165B
5C16 165C
5F16 165F
6516 1665
6816 1668
6916 1669
6A16 166A
6B16 166B
7216 1672
7316 1673
7416 1674
7716 1677
7816 1678
7916 1679
7A16 167A
7B16 167B
7D16 167D
7E16 167E
7F16 167F
8016 1680
8116 1681
8216 1682
8316 1683
8416 1684
8616 1686
8716 1687
8816 1688
9016 1690
9116 1691
9216 1692
9316 1693
9416 1694
9816 1698
9916 1699
9A16 169A
9B16 169B
9D16 169D
A016 16A0
B016 16B0
B116 16B1
B216 16B2
B316 16B3
B416 16B4
B516 16B5
B616 16B6
B716 16B7
DD16 16DD
F316 16F3
F716 16F7
FD16 16FD
FE16 16FE
FF16 16FF
0F17 170F
1217 1712
1317 1713
